name,timestamp
GIMP_2_6_5,2009-02-15
GIMP_2_6_6,2009-03-16
GIMP_2_6_7,2009-08-13
GIMP_2_6_8,2009-12-09
GIMP_2_6_9,2010-06-22
GIMP_2_6_10,2010-07-07
GIMP_2_6_11,2010-10-03
GIMP_2_6_12,2012-01-31
GIMP_2_7_0,2009-08-15
GIMP_2_7_1,2010-06-28
GIMP_2_7_2,2011-04-14
GIMP_2_7_3,2011-08-21
GIMP_2_7_4,2011-12-11
GIMP_2_7_5,2012-03-12
GIMP_2_8_0,2012-05-02
GIMP_2_8_0_RC1,2012-04-02
GIMP_2_8_2,2012-08-23
GIMP_2_8_4,2013-02-05
GIMP_2_8_6,2013-06-21
GIMP_2_8_8,2013-11-03
GIMP_2_8_10,2013-11-28
GIMP_2_8_12,2014-08-25
GIMP_2_8_14,2014-08-26
GIMP_2_8_16,2015-11-21
GIMP_2_8_18,2016-07-12
GIMP_2_8_20,2017-01-31
GIMP_2_8_22,2017-05-02
GIMP_2_9_2,2015-11-25
GIMP_2_9_4,2016-07-12
GIMP_2_9_6,2017-08-24
GIMP_2_9_8,2017-12-12
GIMP_2_10_0,2018-04-27
GIMP_2_10_0_RC1,2018-03-26
GIMP_2_10_0_RC2,2018-04-17
GIMP_2_10_2,2018-05-20
GIMP_2_10_4,2018-07-04
GIMP_2_10_6,2018-08-19
GIMP_2_10_8,2018-11-08
GIMP_2_10_10,2019-04-07
GIMP_2_10_12,2019-06-12
GIMP_2_10_14,2019-10-27
GIMP_2_10_16,2020-02-18
GIMP_2_10_18,2020-02-23
GIMP_2_10_20,2020-06-07
GIMP_2_10_22,2020-10-04
GIMP_2_10_24,2021-03-28
GIMP_2_10_26,2021-09-05
GIMP_2_10_28,2021-09-07
GIMP_2_10_30,2021-12-19
GIMP_2_10_32,2022-06-12
GIMP_2_10_34,2023-02-21
GIMP_2_10_36,2023-11-05
GIMP_2_10_38,2024-05-02
GIMP_2_99_2,2020-10-25
GIMP_2_99_4,2020-12-22
GIMP_2_99_6,2021-04-26
GIMP_2_99_8,2021-10-19
GIMP_2_99_10,2022-02-22
GIMP_2_99_12,2022-08-21
GIMP_2_99_12-WIN_INSTALLER,2022-08-22
GIMP_2_99_14,2022-11-13
GIMP_2_99_16,2023-07-05
GIMP_2_99_18,2024-02-17
GIMP_3_0_0,2025-03-17
GIMP_3_0_0_RC1,2024-11-04
GIMP_3_0_0_RC2,2024-12-27
GIMP_3_0_0_RC3,2025-02-09
GIMP_3_0_2,2025-03-23
GIMP_3_0_4,2025-05-17
GIMP_3_0_6,2025-10-05
GIMP_3_0_8,2026-01-24
GIMP_3_1_2,2025-06-22
GIMP_3_1_4,2025-08-31
GIMP_3_2_0,2026-03-14
GIMP_3_2_0-windows-fixes,2026-03-14
GIMP_3_2_0_RC1,2025-11-17
GIMP_3_2_0_RC2,2025-12-14
GIMP_3_2_0_RC3,2026-03-02
GIMP_3_2_2,2026-03-28
GIMP_3_2_2-windows-fixes,2026-03-28
GIMP_3_2_4,2026-04-17
GIMP_19990910,1999-09-11
GIMP_BEFORE_GTK_2_0,2001-07-23
GNOME_2_4_BRANCHPOINT,2003-08-02
GNOME_BASE,1998-05-17
GNOME_PRINT_0_24,2000-09-27
LIBRSVG_2_1_1,2002-10-08
LIBRSVG_2_1_2,2002-10-08
LIBRSVG_2_1_3,2002-10-08
LIBRSVG_2_1_4,2003-01-10
LIBRSVG_2_1_5,2003-01-10
LIBRSVG_2_2_0,2003-01-10
NEEDS_GIMP_2_3_10,2006-06-02
PROJECT_SUNLIGHT_ANCHOR,1999-07-16
ROSALIA_BEFORE_COMMITTING_DL_AND_GNOME_HELLO,1998-01-26
SCRIPT_FU_BEFORE_TINYSCHEME,2006-10-05
SCRIPT_FU_MERGE,2006-12-09
SNAP_19971121,1997-11-24
TEST_TAG,2021-04-26
TINY_FU_0_9_3,2004-10-07
TINY_FU_0_9_4,2004-10-09
TINY_FU_0_9_5,2004-10-29
TINY_FU_0_9_6,2004-11-23
TINY_FU_0_9_7,2005-03-15
TINY_FU_0_9_8,2005-03-18
TINY_FU_1_0_0,2005-06-01
TINY_FU_1_0_1,2005-06-01
TINY_FU_1_0_2,2006-06-05
TINY_FU_1_0_RC1,2005-06-01
TINY_FU_1_1_0,2006-09-19
gimp,2006-08-15
git-migration-GIMP_2_5_0,2008-04-09
help,2003-05-20
release-2-2-4,2003-01-10
release-2-2-5,2003-03-18
release-2-3-0,2003-03-24
release-2-4-0,2003-08-02
soc-2012-unified-transform-after-gsoc,2012-08-20
soc-2012-unified-transform-before-gsoc,2011-08-05
